Frequency;Channel A;Channel B
(ms);(V);(V)

-45.03544420;-0.05432295;-0.00854518
-45.01496420;0.03387555;-0.00854518
-44.99448420;0.03387555;-0.00854518
-44.97400420;0.03387555;0.08026368
-44.95352420;0.03387555;-0.00854518
-44.93304420;0.03387555;-0.00854518
-44.91256420;0.03387555;-0.00854518
-44.89208420;-0.05432295;-0.00854518
-44.87160420;0.03387555;-0.00854518
-44.85112420;0.03387555;-0.00854518
-44.83064420;-0.05432295;-0.00854518
-44.81016420;-0.05432295;-0.00854518
-44.78968420;0.03387555;-0.00854518
-44.76920420;0.03387555;-0.00854518
-44.74872420;0.03387555;-0.00854518
-44.72824420;0.03387555;-0.00854518
-44.70776420;0.03387555;-0.00854518
-44.68728420;-0.05432295;0.08026368
-44.66680420;0.03387555;-0.00854518
-44.64632420;0.03387555;-0.00854518
-44.62584420;0.03387555;-0.00854518
-44.60536420;0.03387555;-0.00854518
-44.58488420;0.03387555;0.08026368
-44.56440420;0.03387555;-0.00854518
-44.54392420;0.03387555;-0.00854518
-44.52344420;0.03387555;-0.00854518
-44.50296420;-0.05432295;0.08026368
-44.48248420;-0.05432295;-0.00854518
-44.46200420;0.03387555;-0.00854518
-44.44152420;0.03387555;-0.00854518
-44.42104420;0.03387555;-0.00854518
-44.40056420;0.03387555;-0.00854518
-44.38008420;0.03387555;-0.00854518
-44.35960420;0.03387555;-0.00854518
-44.33912420;-0.05432295;-0.00854518
-44.31864420;0.03387555;-0.00854518
-44.29816420;0.03387555;-0.00854518
-44.27768420;0.03387555;-0.00854518
-44.25720420;0.03387555;-0.00854518
-44.23672420;-0.05432295;-0.00854518
-44.21624421;0.03387555;-0.00854518
-44.19576421;0.03387555;-0.00854518
-44.17528421;-0.05432295;-0.00854518
-44.15480421;0.03387555;-0.00854518
-44.13432421;-0.05432295;-0.00854518
-44.11384421;-0.05432295;-0.00854518
-44.09336421;-0.05432295;0.08026368
-44.07288421;0.03387555;-0.00854518
-44.05240421;0.03387555;0.08026368
-44.03192421;0.03387555;-0.00854518
-44.01144421;0.03387555;-0.00854518
-43.99096421;0.03387555;0.08026368
-43.97048421;0.03387555;-0.00854518
-43.95000421;-0.05432295;-0.00854518
-43.92952421;0.03387555;-0.00854518
-43.90904421;0.03387555;-0.00854518
-43.88856421;0.03387555;-0.00854518
-43.86808421;0.03387555;-0.00854518
-43.84760421;0.03387555;-0.00854518
-43.82712421;0.03387555;-0.00854518
-43.80664421;0.03387555;-0.00854518
-43.78616421;-0.05432295;-0.00854518
-43.76568421;-0.05432295;0.08026368
-43.74520421;0.03387555;-0.00854518
-43.72472421;0.03387555;-0.00854518
-43.70424421;0.03387555;-0.00854518
-43.68376421;0.03387555;-0.00854518
-43.66328421;0.03387555;-0.00854518
-43.64280421;0.03387555;-0.00854518
-43.62232421;0.03387555;-0.00854518
-43.60184421;0.03387555;-0.00854518
-43.58136421;0.03387555;-0.00854518
-43.56088421;0.03387555;-0.00854518
-43.54040421;0.03387555;-0.00854518
-43.51992421;-0.05432295;-0.00854518
-43.49944421;0.03387555;-0.00854518
-43.47896421;0.03387555;-0.00854518
-43.45848421;0.03387555;-0.00854518
-43.43800421;-0.05432295;-0.00854518
-43.41752421;0.03387555;-0.00854518
-43.39704421;0.03387555;-0.00854518
-43.37656421;0.03387555;-0.00854518
-43.35608421;-0.05432295;-0.00854518
-43.33560421;0.03387555;-0.00854518
-43.31512421;0.03387555;-0.00854518
-43.29464421;0.03387555;-0.00854518
-43.27416421;-0.05432295;-0.00854518
-43.25368421;0.03387555;-0.00854518
-43.23320421;0.03387555;-0.00854518
-43.21272421;0.03387555;-0.00854518
-43.19224421;0.03387555;-0.00854518
-43.17176421;0.03387555;-0.00854518
-43.15128421;-0.05432295;-0.00854518
-43.13080421;0.03387555;-0.00854518
-43.11032421;-0.05432295;-0.00854518
-43.08984421;0.03387555;-0.00854518
-43.06936421;0.03387555;-0.00854518
-43.04888421;0.03387555;-0.00854518
-43.02840421;0.03387555;-0.00854518
-43.00792421;0.03387555;-0.00854518
-42.98744421;0.03387555;-0.00854518
-42.96696421;0.03387555;-0.00854518
-42.94648421;0.03387555;-0.00854518
-42.92600421;0.03387555;-0.00854518
-42.90552421;0.03387555;-0.00854518
-42.88504421;-0.05432295;0.08026368
-42.86456421;-0.05432295;-0.00854518
-42.84408421;0.03387555;-0.00854518
-42.82360421;0.03387555;-0.00854518
-42.80312421;0.03387555;-0.00854518
-42.78264421;0.03387555;-0.00854518
-42.76216421;0.03387555;-0.00854518
-42.74168421;0.03387555;-0.00854518
